"end_lat","end_lng","number_of_members","number_of_casuals","number_of_electric","number_of_classic","number_of_docked","total"
41.743316,-87.622849,16,16,11,18,3,32
41.7433597622532,-87.6228439807892,3,9,3,9,0,12
41.74336,-87.622844,0,1,0,0,1,1
41.743432283,-87.604870319,0,1,1,0,0,1
41.743441,-87.604836,264,217,250,217,14,481
41.743717,-87.634088,85,93,76,93,9,178
41.7437193333333,-87.6341123333333,0,1,1,0,0,1
41.743844,-87.622769,0,7,0,0,7,7
41.7438440723149,-87.6227688789368,5,6,0,11,0,11
41.743921,-87.575225,19,66,34,49,2,85
41.744123,-87.599034,53,140,108,74,11,193
41.744531,-87.56506,60,78,35,92,11,138
41.744615,-87.551208,98,137,124,99,12,235
41.746559,-87.586005,170,57,81,137,9,227
41.747363,-87.580046,5,25,22,7,1,30
41.75,-87.77,0,1,1,0,0,1
41.75,-87.76,0,1,1,0,0,1
41.75,-87.74,3,5,8,0,0,8
41.75,-87.73,1,2,3,0,0,3
41.75,-87.72,0,7,7,0,0,7
41.75,-87.71,1,0,1,0,0,1
41.75,-87.7,3,6,9,0,0,9
41.75,-87.69,0,1,1,0,0,1
41.75,-87.68,78,42,120,0,0,120
41.75,-87.67,14,31,45,0,0,45
41.75,-87.66,4,62,66,0,0,66
41.75,-87.65,11,19,29,1,0,30
41.75,-87.64,15,18,33,0,0,33
41.75,-87.63,19,24,43,0,0,43
41.75,-87.62,8,19,27,0,0,27
41.75,-87.61,96,46,142,0,0,142
41.75,-87.6,31,84,115,0,0,115
41.75,-87.59,17,19,36,0,0,36
41.75,-87.58,5,30,35,0,0,35
41.75,-87.57,24,36,60,0,0,60
41.75,-87.56,20,68,88,0,0,88
41.75,-87.55,14,21,35,0,0,35
41.75,-87.54,2,0,2,0,0,2
41.750794,-87.624424,244,277,202,293,26,521
41.75094,-87.61379,49,173,69,121,32,222
41.751173,-87.585337,66,69,30,94,11,135
41.751294,-87.597552,39,89,60,62,6,128
41.751731,-87.552812,144,106,50,183,17,250
41.751785,-87.578496,36,80,47,61,8,116
41.75182,-87.565211,154,193,91,240,16,347
41.7518388333333,-87.5652893333333,0,1,1,0,0,1
41.7522048494112,-87.663699388504,28,71,34,65,0,99
41.752205,-87.663699,0,9,0,0,9,9
41.752487,-87.643902,0,12,0,0,12,12
41.7524870124901,-87.6439021574879,60,131,109,82,0,191
41.753174,-87.605026,131,66,106,86,5,197
41.756971,-87.624621,27,41,25,42,1,68
41.75712,-87.575839,0,25,0,0,25,25
41.75712006802,-87.5758393587,93,110,82,121,0,203
41.757871,-87.549386,0,42,0,0,42,42
41.75787144829,-87.54938625,94,108,66,136,0,202
41.75797,-87.63121,17,81,25,68,5,98
41.758361,-87.614138,47,143,80,93,17,190
41.75849,-87.60641,144,72,133,75,8,216
41.7586696704,-87.586882871,194,168,139,223,0,362
41.75867,-87.586883,0,38,0,0,38,38
41.758768,-87.56644,127,189,132,163,21,316
41.75916,-87.595751,25,46,24,45,2,71
41.759236,-87.663474,0,12,0,0,12,12
41.7592360242587,-87.6634740829468,31,70,32,69,0,101
41.759274,-87.673634,0,3,0,0,3,3
41.7592740393312,-87.6736342906952,22,41,26,37,0,63
41.76,-87.8,0,1,1,0,0,1
41.76,-87.79,0,5,5,0,0,5
